#Econ.,Denominación,Previsiones Iniciales,Modificaciones de previsiones,Previsiones Definitivas,Derechos reconocidos
10000.0,Impost sobre la renda IRPF,909862.4,0.0,909862.4,701653.68
17100.0,Recàrrec IAE,450000.0,0.0,450000.0,114235.09
21000.0,Impost sobre el Valor afegit (IVA),1492536.0,0.0,1492536.0,1150990.92
22000.0,Impost sobre l'alcohol i begudes derivades,14941.84,0.0,14941.84,11522.61
22001.0,Impost especial sobre la cervesa,5054.55,0.0,5054.55,3897.9
22003.0,Impost especial sobre el tabac,135326.88,0.0,135326.88,104359.32
22004.0,Impost especial sobre el combustible,177341.67,0.0,177341.67,136759.59
22006.0,Altres imposts especials,473.68,0.0,473.68,365.31
30900.0,Taxa Incendis,14200.0,0.0,14200.0,4764.46
31100.0,Taxes Discapacitats,162000.0,0.0,162000.0,124967.26
31110.0,Taxes Residència de Gent Gran,780000.0,0.0,780000.0,536364.3
31130.0,Taxes Centre de dia d'Alzheimer,85000.0,0.0,85000.0,15487.98
32000.0,Taxes transferència caça i pesca fluvial,100000.0,0.0,100000.0,116658.98
32200.0,Taxes Habitabilitat,25000.0,0.0,25000.0,33183.84
32300.0,Taxes Ordenació Territorial i Urbanisme,10000.0,0.0,10000.0,3527.66
32500.0,Taxes Expedició de documents,3000.0,0.0,3000.0,1949.23
32900.0,Taxes Centre acollida animals,25000.0,0.0,25000.0,9960.88
32901.0,Taxes ITV,1323498.85,0.0,1323498.85,471494.97
32920.0,Taxes Transports,40000.0,0.0,40000.0,29319.49
32930.0,Taxes Ordenació Turística,80000.0,0.0,80000.0,48642.64
32940.0,Taxes Agricultura i Pesca,75000.0,0.0,75000.0,74049.11
32950.0,Taxa Artesania,700.0,0.0,700.0,0.0
34100.0,PP.Serveis especials,35000.0,0.0,35000.0,12018.0
34110.0,PP. SERVEIS ASSISTÈNCIALS,0.0,0.0,0.0,9275.58
34200.0,Educació de persones adultes,65000.0,0.0,65000.0,0.0
34300.0,PP. SERVEIS ESPORTIUS,0.0,0.0,0.0,0.0
34310.0,Esports: Gabinet de Medicina Esportiva,3400.0,0.0,3400.0,1502.0
34900.0,"Preu públic, etiquetes vi de la terra",14000.0,0.0,14000.0,359.51
36000.0,Venda Llibres,1000.0,0.0,1000.0,2182.88
36001.0,Venda de productes de la granja escola,15000.0,0.0,15000.0,8615.01
36300.0,Vendes productes botiga Museu Menorca,0.0,0.0,0.0,2336.82
38901.0,Reintegraments operacions corrents d'exercicis tancats,0.0,0.0,0.0,266812.91
39100.0,Sancions urbanístiques,0.0,0.0,0.0,0.0
39190.0,Sancions,150000.0,0.0,150000.0,0.0
39191.0,sancions trasports,0.0,0.0,0.0,48477.0
39192.0,sancions turisme,0.0,0.0,0.0,96635.2
39193.0,Sancions pesca i caça,0.0,0.0,0.0,4747.7
39194.0,sancions carreteres,0.0,0.0,0.0,0.0
39195.0,sancions activitats classificades,0.0,0.0,0.0,0.0
39196.0,sancions patrimoni,0.0,0.0,0.0,0.0
39197.0,sancions ramaderia,0.0,0.0,0.0,0.0
39211.0,Recàrrec de constrenyiment,2000.0,0.0,2000.0,994.74
39300.0,Interessos de demora,0.0,0.0,0.0,0.0
39900.0,Recursos eventuals,40000.0,0.0,40000.0,71281.34
39910.0,Reintegrament anuncis contractació,10000.0,0.0,10000.0,0.0
42010.0,Fons complementari de Finançament,12796494.24,0.0,12796494.24,9868203.63
42090.0,Programa d'oci juvenil,29037.0,0.0,29037.0,0.0
42190.0,Gestió i conservació Finca Alforí de Dalt,80000.0,0.0,80000.0,38989.76
42200.0,Transferències corrents de fundacions estatals,0.0,0.0,0.0,0.0
42300.0,Participació traveses,85000.0,0.0,85000.0,20088.9
42390.0,Altres organismes estatals,103000.0,0.0,103000.0,43309.98
45001.0,CAIB - Altres transferències incondicionades,47797015.06,0.0,47797015.06,47797015.06
45002.0,CAIB - Convenis en matèria d'acció social,1739017.28,0.0,1739017.28,620168.18
45030.0,CAIB - Convenis en matèria d'educació,20000.0,0.0,20000.0,0.0
45050.0,CAIB - Convenis en matèria de formació,100000.0,0.0,100000.0,37500.0
45060.0,CAIB - Altres convenis subscrits amb la CAIB,1161000.0,0.0,1161000.0,0.0
45080.0,Altres subvencions CAIB (Sense conveni),1415271.65,0.0,1415271.65,1392247.98
45100.0,Conveni ATIB Organització Congrés Espanyol d'Ecoturisme 2020,18000.0,0.0,18000.0,0.0
45200.0,Transferències de fundacions autonòmiques,0.0,0.0,0.0,0.0
45300.0,Posam valor a l'esport,30000.0,0.0,30000.0,0.0
45301.0,Ports de les Illes Balears - Incendis,0.0,0.0,0.0,1571.72
