#Econ.,Denominación,Previsiones Iniciales,Modificaciones de previsiones,Previsiones Definitivas,Derechos reconocidos netos
10000,Impost sobre la renda IRPF,909862.4,0.0,909862.4,927742.56
17100,Recàrrec IAE,450000.0,0.0,450000.0,314760.06
21000,Impost sobre el Valor afegit (IVA),1492536.0,0.0,1492536.0,1487874.72
22000,Impost sobre l'alcohol i begudes derivades,14941.84,0.0,14941.84,15144.12
22001,Impost especial sobre la cervesa,5054.55,0.0,5054.55,5191.68
22003,Impost especial sobre el tabac,135326.88,0.0,135326.88,-12473.55
22004,Impost especial sobre el combustible,177341.67,0.0,177341.67,181278.36
22006,Altres imposts especials,473.68,0.0,473.68,482.76
30900,Taxa Incendis,14200.0,0.0,14200.0,5938.76
31100,Taxes Discapacitats,162000.0,0.0,162000.0,167617.12
31110,Taxes Residència de Gent Gran,780000.0,0.0,780000.0,728250.92
31130,Taxes Centre de dia d'Alzheimer,85000.0,0.0,85000.0,20879.18
32000,Taxes transferència caça i pesca fluvial,100000.0,0.0,100000.0,115992.63
32200,Taxes Habitabilitat,25000.0,0.0,25000.0,44894.8
32300,Taxes Ordenació Territorial i Urbanisme,10000.0,0.0,10000.0,4208.03
32500,Taxes Expedició de documents,3000.0,0.0,3000.0,2597.98
32900,Taxes Centre acollida animals,25000.0,0.0,25000.0,17475.85
32901,Taxes ITV,1323498.85,0.0,1323498.85,628659.96
32920,Taxes Transports,40000.0,0.0,40000.0,36285.0
32930,Taxes Ordenació Turística,80000.0,0.0,80000.0,57823.19
32940,Taxes Agricultura i Pesca,75000.0,0.0,75000.0,86123.52
32950,Taxa Artesania,700.0,0.0,700.0,0.0
34100,PP.Serveis especials,35000.0,0.0,35000.0,16142.64
34110,PP. SERVEIS ASSISTÈNCIALS,0.0,0.0,0.0,9275.58
34200,Educació de persones adultes,65000.0,0.0,65000.0,0.0
34300,PP. SERVEIS ESPORTIUS,0.0,0.0,0.0,0.0
34310,Esports: Gabinet de Medicina Esportiva,3400.0,0.0,3400.0,2281.0
34900,"Preu públic, etiquetes vi de la terra",14000.0,0.0,14000.0,359.51
36000,Venda Llibres,1000.0,0.0,1000.0,2494.62
36001,Venda de productes de la granja escola,15000.0,0.0,15000.0,13049.31
36300,Vendes productes botiga Museu Menorca,0.0,0.0,0.0,2652.31
38901,Reintegraments operacions corrents d'exercicis tancats,0.0,0.0,0.0,270347.8
39100,Sancions urbanístiques,0.0,0.0,0.0,0.0
39190,Sancions,150000.0,0.0,150000.0,0.0
39191,sancions trasports,0.0,0.0,0.0,81483.26
39192,sancions turisme,0.0,0.0,0.0,449266.2
39193,Sancions pesca i caça,0.0,0.0,0.0,6430.3
39194,sancions carreteres,0.0,0.0,0.0,0.0
39195,sancions activitats classificades,0.0,0.0,0.0,0.0
39196,sancions patrimoni,0.0,0.0,0.0,186147.2
39197,sancions ramaderia,0.0,0.0,0.0,0.0
39201,Recàrrec de constrenyiment Ajuntament des Migjorn Gran,0.0,0.0,0.0,2891.26
39211,Recàrrec de constrenyiment,2000.0,0.0,2000.0,1134.01
39300,Interessos de demora,0.0,0.0,0.0,280.95
39900,Recursos eventuals,40000.0,0.0,40000.0,92422.69
39910,Reintegrament anuncis contractació,10000.0,0.0,10000.0,0.0
42010,Fons complementari de Finançament,12796494.24,0.0,12796494.24,13148174.86
42090,Programa d'oci juvenil,29037.0,0.0,29037.0,0.0
42091,Altres transferències corrents de l'admnistració de l'Estat,0.0,0.0,0.0,13537.5
42190,Gestió i conservació Finca Alforí de Dalt,80000.0,0.0,80000.0,80000.0
42200,Transferències corrents de fundacions estatals,0.0,0.0,0.0,0.0
42300,Participació traveses,85000.0,0.0,85000.0,32701.18
42390,Altres organismes estatals,103000.0,0.0,103000.0,95533.46
45001,CAIB - Altres transferències incondicionades,47797015.06,0.0,47797015.06,47797015.06
45002,CAIB - Convenis en matèria d'acció social,1739017.28,165419.42,1904436.7,1685961.9
45030,CAIB - Convenis en matèria d'educació,20000.0,78240.79,98240.79,107240.79
45050,CAIB - Convenis en matèria de formació,100000.0,0.0,100000.0,112500.0
45060,CAIB - Altres convenis subscrits amb la CAIB,1161000.0,0.0,1161000.0,1012780.0
45080,Altres subvencions CAIB (Sense conveni),1415271.65,55575.0,1470846.65,1452884.08
45100,Conveni ATIB Organització Congrés Espanyol d'Ecoturisme 2020,18000.0,0.0,18000.0,0.0
45200,Transferències de fundacions autonòmiques,0.0,0.0,0.0,5000.0
45300,Posam valor a l'esport,30000.0,0.0,30000.0,0.0
45301,Ports de les Illes Balears - Incendis,0.0,0.0,0.0,1571.72
45302,Universitat de les Illes Balears (UIB),0.0,0.0,0.0,0.0
46200,Extinció i prevenció d'incendis,1200000.0,0.0,1200000.0,1020455.02
46201,Ajuntaments - Biblioteques,74000.0,0.0,74000.0,76325.0
46202,Ajuntaments - Educació d'Adults,253654.08,0.0,253654.08,251767.55
46203,Ajuntaments - Serveis educatius educació primarenca,36195.0,0.0,36195.0,50743.61
46204,Ajuntaments - Protecció Animal,100000.0,0.0,100000.0,84377.0
46205,Ajuntaments - Monuments Arquelògics,32796.3,0.0,32796.3,41872.36
