#Econ.,Denominación,Previsiones Iniciales,Modificaciones de previsiones,Previsiones Definitivas,Derechos reconocidos netos
10000.0,Impost sobre la renda IRPF,1114659.52,0.0,1114659.52,1164670.14
17100.0,Recàrrec IAE,450000.0,0.0,450000.0,434362.68
21000.0,Impost sobre el Valor afegit (IVA),1809066.1,0.0,1809066.1,1873690.1
22000.0,Impost sobre l'alcohol i begudes derivades,18816.11,0.0,18816.11,18849.72
22001.0,Impost especial sobre la cervesa,6782.9,0.0,6782.9,6864.96
22003.0,Impost especial sobre el tabac,138416.6,0.0,138416.6,138828.12
22004.0,Impost especial sobre el combustible,219494.97,0.0,219494.97,219878.16
22006.0,Altres imposts especials,553.71,0.0,553.71,577.8
30900.0,Taxa Incendis,14202.0,0.0,14202.0,8787.43
31100.0,Taxes Discapacitats,170000.0,0.0,170000.0,174517.28
31110.0,Taxes Residència de Gent Gran,780000.0,0.0,780000.0,769313.09
31130.0,Taxes Centre de dia d'Alzheimer,50000.0,0.0,50000.0,63730.73
32000.0,Taxes transferència caça i pesca fluvial,110000.0,0.0,110000.0,118326.97
32200.0,Taxes Habitabilitat,50000.0,0.0,50000.0,42991.78
32300.0,Taxes Ordenació Territorial i Urbanisme,10000.0,0.0,10000.0,6295.69
32500.0,Taxes Expedició de documents,3000.0,0.0,3000.0,229.19
32900.0,Taxes Centre acollida animals,18000.0,0.0,18000.0,24016.47
32901.0,Taxes ITV,1323498.85,0.0,1323498.85,628659.96
32920.0,Taxes Transports,36405.78,0.0,36405.78,49487.1
32930.0,Taxes Ordenació Turística,65000.0,0.0,65000.0,22807.4
32940.0,Taxes Agricultura i Pesca,85000.0,0.0,85000.0,67701.81
32950.0,Taxa Artesania,1000.0,0.0,1000.0,339.47
34100.0,PP.Serveis especials,35000.0,0.0,35000.0,30597.18
34200.0,Educació de persones adultes,50000.0,0.0,50000.0,0.0
34201.0,Matrícules Escola Art Dramàtic de Menorca,4000.0,0.0,4000.0,0.0
34310.0,Esports: Gabinet de Medicina Esportiva,3400.0,0.0,3400.0,2857.0
34900.0,Productes Museu de Menorca,5000.0,0.0,5000.0,0.0
34901.0,PP Fira Arrels,0.0,0.0,0.0,20997.26
36000.0,Venda Llibres,100.0,0.0,100.0,4796.91
36001.0,Venda de productes de la granja escola,15000.0,0.0,15000.0,20538.9
36300.0,Vendes productes botiga Museu Menorca,0.0,0.0,0.0,11381.81
38901.0,altres reintegraments d'operacions corrents,0.0,0.0,0.0,197372.64
39110.0,Multes per infraccions tributàries i anàlogues,0.0,0.0,0.0,5378.4
39190.0,Sancions,300000.0,0.0,300000.0,0.0
39191.0,sancions transports,0.0,0.0,0.0,41527.8
39192.0,sancions turisme,0.0,0.0,0.0,914429.6
39193.0,sancions pesca,0.0,0.0,0.0,27372.1
39194.0,sancions carreteres,0.0,0.0,0.0,0.0
39195.0,sancions activitats classificades,0.0,0.0,0.0,0.0
39196.0,sancions patrimoni,0.0,0.0,0.0,0.0
39197.0,sancions urbanisme,0.0,0.0,0.0,0.0
39198.0,Sancions Caça,0.0,0.0,0.0,-138.6
39201.0,Recàrrec de constrenyiment Ajuntament des Migjorn Gran,0.0,0.0,0.0,6112.47
39211.0,Recàrrec de constrenyiment,2000.0,0.0,2000.0,3533.36
39300.0,INTERESSOS DE DEMORA,0.0,0.0,0.0,28163.97
39900.0,Recursos eventuals,75000.0,0.0,75000.0,155644.39
42010.0,Fons complementari de Finançament,15240538.77,0.0,15240538.77,15586609.49
42090.0,Altres transf. corrents de l'Admin. General de l'Estat,225000.0,221306.75,446306.75,250946.47
42190.0,Gestió i conservació Finca Alforí de Dalt,80000.0,0.0,80000.0,77426.39
42200.0,Transferències corrents de fundacions estatals,0.0,0.0,0.0,65113.13
42300.0,Participació traveses,85000.0,0.0,85000.0,50594.71
42390.0,Altres organismes estatals,103000.0,0.0,103000.0,73580.72
45001.0,CAIB - Altres transferències incondicionades,49775333.27,0.0,49775333.27,49775333.27
45002.0,CAIB - Convenis en matèria d'acció social,1823282.17,0.0,1823282.17,992787.94
45030.0,CAIB - Convenis en matèria d'educació,75575.0,22230.0,97805.0,87305.0
45050.0,CAIB - Convenis en matèria de formació,0.0,0.0,0.0,-772.0
45060.0,CAIB - Altres convenis subscrits amb la CAIB,2191500.0,0.0,2191500.0,1009432.12
45080.0,Altres subvencions CAIB (Sense conveni),1663457.2,100000.0,1763457.2,2929339.97
45200.0,Transferències de fundacions autonòmiques-IGA Menorca,20000.0,0.0,20000.0,0.0
45300.0,Posam valor a l'esport,33044.0,0.0,33044.0,0.0
46200.0,Extinció i prevenció d'incendis,1020455.02,0.0,1020455.02,1020455.02
46201.0,Ajuntaments - Biblioteques,78000.0,0.0,78000.0,78462.0
46202.0,Ajuntaments - Educació d'Adults,253654.08,0.0,253654.08,252195.37
46203.0,Ajuntaments - Serveis educatius educació primarenca,68521.96,0.0,68521.96,65464.4
46204.0,Ajuntaments - Protecció Animal,84377.0,0.0,84377.0,96409.76
46205.0,Ajuntaments - Monuments Arquelògics,53333.33,0.0,53333.33,53333.33
46206.0,Ajuntaments - Servei de riscos laborals,107115.82,0.0,107115.82,0.0
46207.0,Ajuntaments - Neteja de platges,600000.0,0.0,600000.0,549321.67
46208.0,Ajuntaments - Manteniment carreteres,177592.73,0.0,177592.73,117305.1
46212.0,IDE Menorca,49000.0,0.0,49000.0,49000.0
46213.0,Universitat Oberta Majors - Ajuntaments,8400.0,0.0,8400.0,6762.64
47000.0,Conveni asseguradora incendis,400000.0,0.0,400000.0,408563.65
47001.0,Altres transferències d'empreses privades,84462.5,0.0,84462.5,0.0
48000.0,Herència canera,30510.72,0.0,30510.72,0.0
49700.0,ALTRES TRANSFERÈNCIES DE LA UE DIRECTES,143732.25,0.0,143732.25,154775.1
49751.0,Altres transferències de la UE MRR via CCAA,0.0,73525.5,73525.5,73525.5
52000.0,Interessos,8500.0,0.0,8500.0,35.67
53410.0,Dividends i particip. en beneficis de societats no depenents,0.0,0.0,0.0,596.99
54900.0,Cessió d'ús parcial WIMAX,42600.0,0.0,42600.0,23580.0
55002.0,Cànon explotació Bar-Cafeteria Estació Autobusos Maó,4800.0,0.0,4800.0,0.0
68000.0,Reintegraments per operacions de capital d'exercicis tancats,0.0,0.0,0.0,185516.85
72000.0,Transferències de l'Estat,11521041.07,1000000.0,12521041.07,1666666.68
72390.0,"Transferències capital de societats, EPEs i OOPP de l'Estat",1177146.18,500000.0,1677146.18,0.0
75060.0,Altres transferències de capital - Convenis amb CAIB,2120753.7,0.0,2120753.7,669601.15
75080.0,CAIB - Altres transferències de Capital de la CA,6865520.58,605672.86,7471193.44,6145520.58
75100.0,D'organismes autònoms i agències de les comunitats autònomes,0.0,0.0,0.0,0.0
75300.0,Conveni APB - CIM,1500000.0,0.0,1500000.0,0.0
76200.0,Pèrgoles Fotovoltaiques,588573.09,0.0,588573.09,0.0
77000.0,Transferències de capital d'empreses privades,0.0,91000.0,91000.0,163817.5
79721.0,Altres transferències de la UE via Estat MRR,0.0,0.0,0.0,200000.0
79751.0,Altres transferències de la UE MRR via CCAA,0.0,1471075.7,1471075.7,8122123.3
82120.0,Préstecs Ajuntaments,0.0,0.0,0.0,0.0
83000.0,Reintegrament prèstecs,375000.0,0.0,375000.0,78714.0
83001.0,Reintegrament préstec Queseria Menorquina,0.0,0.0,0.0,13750.0
83010.0,Reintegraments de préstecs de fora del sector públic a c/t,0.0,0.0,0.0,100000.0
84100.0,DEVOLUCIÓ DE FIANCES.,0.0,0.0,0.0,1450.0
87000.0,Romanent de tresoreria per a despeses generals,0.0,11132193.05,11132193.05,0.0
87010.0,Romanent de tresoreria per a despeses amb finançam. afectat,0.0,8119233.09,8119233.09,0.0
91300.0,Préstecs,12700000.0,0.0,12700000.0,0.0
