#Econ.,Denominación,Previsiones Iniciales
10000.0,Impost sobre la renda IRPF,1114659.52
17100.0,Recàrrec IAE,450000.0
21000.0,Impost sobre el Valor afegit (IVA),1809066.1
22000.0,Impost sobre l'alcohol i begudes derivades,18816.11
22001.0,Impost especial sobre la cervesa,6782.9
22003.0,Impost especial sobre el tabac,138416.6
22004.0,Impost especial sobre el combustible,219494.97
22006.0,Altres imposts especials,553.71
30900.0,Taxa Incendis,14202.0
31100.0,Taxes Discapacitats,170000.0
31110.0,Taxes Residència de Gent Gran,780000.0
31130.0,Taxes Centre de dia d'Alzheimer,50000.0
32000.0,Taxes transferència caça i pesca fluvial,110000.0
32200.0,Taxes Habitabilitat,50000.0
32300.0,Taxes Ordenació Territorial i Urbanisme,10000.0
32500.0,Taxes Expedició de documents,3000.0
32900.0,Taxes Centre acollida animals,18000.0
32901.0,Taxes ITV,1323498.85
32920.0,Taxes Transports,36405.78
32930.0,Taxes Ordenació Turística,65000.0
32940.0,Taxes Agricultura i Pesca,85000.0
32950.0,Taxa Artesania,1000.0
34100.0,PP.Serveis especials,35000.0
34200.0,Educació de persones adultes,50000.0
34201.0,Matrícules Escola Art Dramàtic de Menorca,4000.0
34310.0,Esports: Gabinet de Medicina Esportiva,3400.0
34900.0,Productes Museu de Menorca,5000.0
36000.0,Venda Llibres,100.0
36001.0,Venda de productes de la granja escola,15000.0
39190.0,Sancions,300000.0
39211.0,Recàrrec de constrenyiment,2000.0
39900.0,Recursos eventuals,75000.0
42010.0,Fons complementari de Finançament,15240538.77
42090.0,Altres transf. corrents de l'Admin. General de l'Estat,225000.0
42190.0,Gestió i conservació Finca Alforí de Dalt,80000.0
42300.0,Participació traveses,85000.0
42390.0,Altres organismes estatals,103000.0
45001.0,CAIB - Altres transferències incondicionades,49775333.27
45002.0,CAIB - Convenis en matèria d'acció social,1823282.17
45030.0,CAIB - Convenis en matèria d'educació,75575.0
45060.0,CAIB - Altres convenis subscrits amb la CAIB,2191500.0
45080.0,Altres subvencions CAIB (Sense conveni),1663457.2
45200.0,Transferències de fundacions autonòmiques-IGA Menorca,20000.0
45300.0,Posam valor a l'esport,33044.0
46200.0,Extinció i prevenció d'incendis,1020455.02
46201.0,Ajuntaments - Biblioteques,78000.0
46202.0,Ajuntaments - Educació d'Adults,253654.08
46203.0,Ajuntaments - Serveis educatius educació primarenca,68521.96
46204.0,Ajuntaments - Protecció Animal,84377.0
46205.0,Ajuntaments - Monuments Arquelògics,53333.33
46206.0,Ajuntaments - Servei de riscos laborals,107115.82
46207.0,Ajuntaments - Neteja de platges,600000.0
46208.0,Ajuntaments - Manteniment carreteres,177592.73
46212.0,IDE Menorca,49000.0
46213.0,Universitat Oberta Majors - Ajuntaments,8400.0
47000.0,Conveni asseguradora incendis,400000.0
47001.0,Altres transferències d'empreses privades,84462.5
48000.0,Herència canera,30510.72
49700.0,ALTRES TRANSFERÈNCIES DE LA UNIÓ EUROPEA.,143732.25
52000.0,Interessos,8500.0
54900.0,Cessió d'ús parcial WIMAX,42600.0
55002.0,Cànon explotació Bar-Cafeteria Estació Autobusos Maó,4800.0
72000.0,Transferències de l'Estat,7884541.07
72390.0,"Transferències capital de societats, EPEs i OOPP de l'Estat",1177146.18
75060.0,Altres transferències de capital - Convenis amb CAIB,5757253.7
75080.0,CAIB - Altres transferències de Capital de la CA,6865520.58
75300.0,Conveni APB - CIM,1500000.0
76200.0,Pèrgoles Fotovoltaiques,588573.09
83000.0,Reintegrament prèstecs,375000.0
91300.0,Préstecs,12700000.0
