#Org.,Prog.,Econ.,Denominación,Vinc. Org.,Vinc. Fun.,Vinc. Eco.,Créditos Iniciales,Modificaciones de Crédito,Créditos Definitivos,Obligaciones Reconocidas
1.0,43200.0,1010000.0,Retribucions bàsiques personal gabinet,,4.0,1.0,48041.14,0.0,48041.14,48024.19
1.0,43200.0,1207000.0,Retribucions bàsiques personal funcionari de carrera,,4.0,1.0,11771.63,0.0,11771.63,11864.52
1.0,43200.0,1207001.0,Retribucions bàsiques personal funcionari interí,,4.0,1.0,102334.46,0.0,102334.46,15154.11
1.0,43200.0,1210000.0,Complement destí personal funcionari de carrera,,4.0,1.0,6363.6,0.0,6363.6,6452.18
1.0,43200.0,1210001.0,Complement destí personal funcionari interí,,4.0,1.0,45359.67,0.0,45359.67,6484.25
1.0,43200.0,1210100.0,Complement específic personal funcionari de carrera,,4.0,1.0,6688.04,0.0,6688.04,6718.52
1.0,43200.0,1210101.0,Complement específic personal funcionari interí,,4.0,1.0,61256.39,0.0,61256.39,9506.16
1.0,43200.0,1210300.0,Altres complements personal funcionari de carrera,,4.0,1.0,763.72,0.0,763.72,768.0
1.0,43200.0,1210301.0,Altres complements personal funcionari interí,,4.0,1.0,8805.04,0.0,8805.04,1249.91
1.0,43200.0,1310000.0,Retribucions personal laboral temporal,,4.0,1.0,0.0,0.0,0.0,595.58
1.0,43200.0,1310009.0,Laboral temporal,,4.0,1.0,0.0,0.0,0.0,717.96
1.0,43200.0,1500000.0,Productivitat personal funcionari de  carrera,,4.0,1.0,2077.2,0.0,2077.2,2596.5
1.0,43200.0,1500001.0,Productivitat personal funcionari interí,,4.0,1.0,18940.56,0.0,18940.56,2612.16
1.0,43200.0,1501001.0,Productivitat personal laboral temporal,,4.0,1.0,0.0,0.0,0.0,582.77
1.0,43200.0,1600000.0,Seguretat social,,4.0,1.0,96160.73,0.0,96160.73,35826.54
1.0,43200.0,1610000.0,Prestacions socials segons conveni,,4.0,1.0,0.0,0.0,0.0,1513.1
1.0,43200.0,1620000.0,Formació i perfeccionament del personal,,4.0,1.0,0.0,0.0,0.0,355.95
1.0,43200.0,2020000.0,Lloguers,,4.0,2.0,37525.76,0.0,37525.76,29472.24
1.0,43200.0,2120000.0,Manteniment edificis i altres construccions,,4.0,2.0,500.0,0.0,500.0,0.0
1.0,43200.0,2210000.0,Subministrament energia elèctrica,,4.0,2.0,1000.0,0.0,1000.0,459.53
1.0,43200.0,2210300.0,Subministrament de combustible,,4.0,2.0,500.0,0.0,500.0,0.0
1.0,43200.0,2220000.0,Comunicacions,,4.0,2.0,650.0,0.0,650.0,1325.52
1.0,43200.0,2230000.0,Transports,,4.0,2.0,6500.0,0.0,6500.0,10700.19
1.0,43200.0,2240000.0,Assegurances,,4.0,2.0,200.0,0.0,200.0,185.3
1.0,43200.0,2250000.0,Tributs estatals,,4.0,2.0,1500.0,0.0,1500.0,1099.03
1.0,43200.0,2250200.0,Tributs,,4.0,2.0,150.0,0.0,150.0,117.9
1.0,43200.0,2260200.0,Difusió i campanyes de divulgació,,4.0,2.0,8100.0,13112.0,21212.0,14751.0
1.0,43200.0,2260600.0,"Reunions, conferències i cursos",,4.0,2.0,3000.0,0.0,3000.0,260.0
1.0,43200.0,2260601.0,Jornades i Congressos,,4.0,2.0,50000.0,0.0,50000.0,0.0
1.0,43200.0,2269900.0,Despeses diverses,,4.0,2.0,3300.0,0.0,3300.0,1379.75
1.0,43200.0,2270600.0,Estudis i trebals tècnics.,,4.0,2.0,0.0,17545.0,17545.0,20005.01
1.0,43200.0,2300000.0,Dels membres dels òrgans de govern,,4.0,2.0,1000.0,0.0,1000.0,2060.15
1.0,43200.0,2310000.0,Indemnització per raó del servei - Quilometratge,,4.0,2.0,500.0,0.0,500.0,802.02
