#Org.,Prog.,Econ.,Denominación,Vinc. Org.,Vinc. Fun.,Vinc. Eco.,Créditos Iniciales,Modificaciones de Crédito,Créditos Definitivos,Obligaciones Reconocidas
1.0,15100.0,2250100.0,Tributs de les Comunitats Autònomes,,1.0,2.0,0.0,0.0,0.0,0.0
1.0,43000.0,1207000.0,Retribucions bàsiques personal funcionari de carrera,,4.0,1.0,0.0,0.0,0.0,1347.85
1.0,43000.0,1210000.0,Compl.Destí personal funcionari de carrera,,4.0,1.0,0.0,0.0,0.0,452.83
1.0,43000.0,1210100.0,Compl.Específic personal funcionari de carrera,,4.0,1.0,0.0,0.0,0.0,621.81
1.0,43000.0,1210300.0,Altres complements personal funcionari de carrera,,4.0,1.0,0.0,0.0,0.0,96.24
1.0,43200.0,1010000.0,Retribucions bàsiques personal de gabinet,,4.0,1.0,45781.37,0.0,45781.37,32059.7
1.0,43200.0,1207000.0,Retribucions bàsiques personal funcionari de carrera,,4.0,1.0,25936.11,0.0,25936.11,13665.43
1.0,43200.0,1207001.0,Retribucions bàsiques personal funcionari interí,,4.0,1.0,10819.18,0.0,10819.18,15397.4
1.0,43200.0,1210000.0,RETRIBUCIONS COMPLEMENTARIES FUNCIONARIS,,4.0,1.0,13769.4,0.0,13769.4,4479.56
1.0,43200.0,1210001.0,Complement destí personal funcionari interí,,4.0,1.0,5260.95,0.0,5260.95,6098.29
1.0,43200.0,1210100.0,COMPLEMENT ESPECIFIC,,4.0,1.0,15046.59,0.0,15046.59,6340.8
1.0,43200.0,1210101.0,Complement específic personal funcionari interí,,4.0,1.0,5748.94,0.0,5748.94,8596.55
1.0,43200.0,1210300.0,Altres complements personal funcionari de carrera,,4.0,1.0,1702.31,0.0,1702.31,866.22
1.0,43200.0,1210301.0,Altres complements personal funcionari interí,,4.0,1.0,534.33,0.0,534.33,1285.83
1.0,43200.0,1500000.0,PRODUCTIVITAT FUNCIONARIS,,4.0,1.0,4689.36,0.0,4689.36,1995.11
1.0,43200.0,1500001.0,Productivitat personal funcionari interí,,4.0,1.0,1996.2,0.0,1996.2,3602.81
1.0,43200.0,1600000.0,SEGURETAT SOCIAL,,4.0,1.0,38307.7,0.0,38307.7,29993.23
1.0,43200.0,1610000.0,Prestacions socials segons conveni,,4.0,1.0,0.0,0.0,0.0,240.0
1.0,43200.0,2020000.0,Lloguers,1.0,4.0,2.0,15000.0,0.0,15000.0,3767.35
1.0,43200.0,2020001.0,Nou local seu Fundació Foment,1.0,4.0,2.0,20000.0,0.0,20000.0,0.0
1.0,43200.0,2120000.0,Manteniment edificis i altres construccions,1.0,4.0,2.0,1500.0,0.0,1500.0,0.0
1.0,43200.0,2210000.0,Subministrament energia elèctrica,1.0,4.0,2.0,500.0,0.0,500.0,294.87
1.0,43200.0,2210300.0,Subministrament de combustible,1.0,4.0,2.0,1000.0,0.0,1000.0,105.83
1.0,43200.0,2220000.0,Comunicacions,1.0,4.0,2.0,1000.0,0.0,1000.0,351.86
1.0,43200.0,2230000.0,Transports,1.0,4.0,2.0,8000.0,0.0,8000.0,3062.9
1.0,43200.0,2240000.0,Assegurances,1.0,4.0,2.0,150.0,0.0,150.0,181.93
1.0,43200.0,2250200.0,Tributs,1.0,4.0,2.0,150.0,0.0,150.0,92.88
1.0,43200.0,2260200.0,Difusió i campanyes de divulgació,1.0,4.0,2.0,20000.0,0.0,20000.0,28001.58
1.0,43200.0,2260600.0,"Reunions, conferències i cursos",1.0,4.0,2.0,0.0,0.0,0.0,2012.15
1.0,43200.0,2260700.0,Oposiciones i proves selectives,1.0,4.0,2.0,0.0,0.0,0.0,42.83
1.0,43200.0,2269900.0,Despeses diverses,1.0,4.0,2.0,10000.0,0.0,10000.0,302.78
1.0,43200.0,2270600.0,Estudis i treballs tècnics,1.0,4.0,2.0,2000.0,0.0,2000.0,0.0
1.0,43200.0,2300000.0,Dels membres dels òrgans de govern,1.0,4.0,2.0,0.0,0.0,0.0,1267.62
1.0,43200.0,2302000.0,Dietes,1.0,4.0,2.0,2000.0,0.0,2000.0,0.0
1.0,43200.0,2310000.0,Indemnitzacions dels organs de govern,1.0,4.0,2.0,0.0,0.0,0.0,1172.71
1.0,43200.0,4620000.0,Transferències a favor d'ajuntaments,1.0,4.0,4.0,25000.0,0.0,25000.0,0.0
1.0,43200.0,4790000.0,Ajut nominatiu: Telecyl SA,1.0,4.0,4.0,84700.0,0.0,84700.0,0.0
1.0,43200.0,4790001.0,Ajuts sector turístic Covid-19,1.0,4.0,4.0,0.0,350000.0,350000.0,71300.0
1.0,43200.0,4810000.0,Beques i premis,1.0,4.0,4.0,500.0,0.0,500.0,0.0
1.0,43200.0,4890000.0,Aportació a Fundació foment del Turisme de Menorca,1.0,4.0,4.0,950000.0,0.0,950000.0,812000.0
1.0,43200.0,4890001.0,Ajut nominatiu: Ses Points Events,1.0,4.0,4.0,150000.0,0.0,150000.0,0.0
1.0,43200.0,4890002.0,Ajut nominatiu: Club Voleibol Ciutadella,1.0,4.0,4.0,70000.0,0.0,70000.0,70000.0
1.0,43200.0,4890003.0,Ajut nominatiu: Club Marítimo de Mahón,1.0,4.0,4.0,20000.0,0.0,20000.0,20000.0
1.0,43200.0,6190000.0,Inversions destinades a ús general,1.0,4.0,6.0,15000.0,-15000.0,0.0,0.0
1.0,43200.0,6500009.0,IR Dinamització de les coves de Cala Blanca,1.0,4.0,6.0,0.0,356485.19,356485.19,0.0
1.0,43200.0,7400000.0,Aportació a Fundació Foment del Turisme de Menorca,1.0,4.0,7.0,2576116.04,-40000.0,2536116.04,2048050.46
1.0,43200.0,7620009.0,IR Actualització zones turístiques,1.0,4.0,7.0,0.0,70000.0,70000.0,0.0
1.0,91200.0,1000000.0,Retribucions d'alts càrrecs,,9.0,1.0,612772.18,0.0,612772.18,423794.86
1.0,91200.0,1010000.0,Retribucions bàsiques personal gabinet,,9.0,1.0,91562.74,0.0,91562.74,64119.4
1.0,91200.0,1100000.0,Retribucions bàsiques i altres del personal eventual,,9.0,1.0,216018.93,0.0,216018.93,135313.25
1.0,91200.0,1207000.0,Retribucions bàsiques personal funcionari de carrera,,9.0,1.0,27775.56,0.0,27775.56,20046.35
1.0,91200.0,1210000.0,Complement destí personal funcionari de carrera,,9.0,1.0,10562.39,0.0,10562.39,8782.71
1.0,91200.0,1210100.0,Complement específic personal funcionari de carrera,,9.0,1.0,12945.44,0.0,12945.44,9605.23
1.0,91200.0,1210300.0,Altres complements personal funcionari de carrera,,9.0,1.0,7064.0,0.0,7064.0,3907.13
1.0,91200.0,1500000.0,Productivitat personal funcionari de carrera,,9.0,1.0,3992.4,0.0,3992.4,3159.0
1.0,91200.0,1600000.0,Seguretat Social,,9.0,1.0,256007.32,0.0,256007.32,185291.1
1.0,91200.0,1610000.0,Prestacions socials segons conveni,,9.0,1.0,0.0,0.0,0.0,98.0
1.0,91200.0,1620500.0,Assegurances.,,9.0,1.0,0.0,0.0,0.0,17916.93
1.0,91200.0,2130000.0,Manteniment i reparació d'instal.lacions i maquinària,,9.0,2.0,3000.0,0.0,3000.0,0.0
1.0,91200.0,2140000.0,Manteniment d'elements de transport,,9.0,2.0,1300.0,0.0,1300.0,18.0
1.0,91200.0,2200000.0,Material d'oficina ordinari,,9.0,2.0,650.0,0.0,650.0,0.0
1.0,91200.0,2200100.0,Subscripcions i publicacions,,9.0,2.0,8000.0,0.0,8000.0,3415.6
1.0,91200.0,2210300.0,Subministrament combustible,,9.0,2.0,1500.0,0.0,1500.0,75.66
1.0,91200.0,2210600.0,Productes farmacèutics i material sanitari,,9.0,2.0,0.0,0.0,0.0,0.0
1.0,91200.0,2220000.0,Comunicacions,,9.0,2.0,2700.0,0.0,2700.0,849.01
1.0,91200.0,2230000.0,Transports,,9.0,2.0,7500.0,0.0,7500.0,3680.8
1.0,91200.0,2240000.0,Assegurances,,9.0,2.0,1100.0,0.0,1100.0,474.06
1.0,91200.0,2250200.0,Tributs entitats locals,,9.0,2.0,4500.0,0.0,4500.0,2084.64
1.0,91200.0,2260100.0,Despeses de protocol,,9.0,2.0,15000.0,0.0,15000.0,1658.15
1.0,91200.0,2260200.0,Difusió i campanyes de divulgació,,9.0,2.0,60000.0,0.0,60000.0,46917.75
1.0,91200.0,2260600.0,"Reunions, conferències i cursos",,9.0,2.0,0.0,0.0,0.0,999.45
1.0,91200.0,2260700.0,Oposiciones i proves selectives,,9.0,2.0,0.0,0.0,0.0,85.66
1.0,91200.0,2269900.0,Despeses diverses,,9.0,2.0,5000.0,0.0,5000.0,12174.1
1.0,91200.0,2270600.0,Estudis i treballs tècnics.,,9.0,2.0,0.0,0.0,0.0,0.0
1.0,91200.0,2300000.0,Dietes de càrrecs electes dels òrgans de govern,,9.0,2.0,1000.0,0.0,1000.0,1430.57
1.0,91200.0,2300001.0,Dietes membres oposició,,9.0,2.0,1000.0,0.0,1000.0,0.0
1.0,91200.0,2301000.0,Dietes dierectors insulars,,9.0,2.0,1000.0,0.0,1000.0,0.0
1.0,91200.0,2302000.0,Indemnitzacions per raó del servei. Dietes,,9.0,2.0,1500.0,0.0,1500.0,0.0
1.0,91200.0,2310000.0,Indemnització per raó del servei. Quilometratge,,9.0,2.0,3000.0,0.0,3000.0,3538.79
1.0,91200.0,4110001.0,CESM,,9.0,4.0,24050.0,0.0,24050.0,10800.0
1.0,91200.0,4110003.0,Institut Menorquí d'Estudis,,9.0,4.0,502500.0,0.0,502500.0,376875.0
1.0,91200.0,4890000.0,Subvencions a entitats ciutadanes,,9.0,4.0,30000.0,0.0,30000.0,21400.0
1.0,91200.0,4890016.0,Subvencions entitats menorquines,,9.0,4.0,15000.0,0.0,15000.0,0.0
1.0,91200.0,4890056.0,Grups polítics,,9.0,4.0,120000.0,0.0,120000.0,93649.59
1.0,91200.0,4890117.0,Aportació a entitats associatives institucionals,,9.0,4.0,29500.0,-10000.0,19500.0,5175.1
1.0,91200.0,6220000.0,Inversions estatutàries Centre d'interpretació S'Enclusa,,9.0,6.0,6928810.86,0.0,6928810.86,0.0
1.0,91200.0,6230001.0,Adquisició equips d'imatge i so (comunicació),,9.0,6.0,10000.0,-5000.0,5000.0,0.0
1.0,91200.0,6400000.0,Dia de les Illes Balears,,9.0,6.0,30000.0,0.0,30000.0,28043.82
1.0,92501.0,1207001.0,Retribucions bàsiques personal funcionari interí,,9.0,1.0,9081.47,0.0,9081.47,3248.73
1.0,92501.0,1210001.0,Complement destí personal funcionari interí,,9.0,1.0,3382.89,0.0,3382.89,1411.3
