#Org.,Prog.,Econ.,Denominación,Vinc. Org.,Vinc. Fun.,Vinc. Eco.,Créditos Iniciales,Modificaciones de Crédito,Créditos Definitivos,Obligaciones Reconocidas
1.0,43200.0,1010000.0,Retribucions bàsiques personal de gabinet,,4.0,1.0,46193.4,0.0,46193.4,43677.41
1.0,43200.0,1207000.0,Retribucions bàsiques personal funcionari de carrera,,4.0,1.0,10821.64,0.0,10821.64,11526.48
1.0,43200.0,1207001.0,Retribucions bàsiques personal funcionari interí,,4.0,1.0,24956.27,0.0,24956.27,23197.89
1.0,43200.0,1210000.0,Complement destí personal funcionari de carrera,,4.0,1.0,5187.79,0.0,5187.79,6052.48
1.0,43200.0,1210001.0,Complement destí personal funcionari interí,,4.0,1.0,9195.91,0.0,9195.91,9313.95
1.0,43200.0,1210100.0,Complement específic personal funcionari de carrera,,4.0,1.0,6304.3,0.0,6304.3,6820.93
1.0,43200.0,1210101.0,Complement específic personal funcionari interí,,4.0,1.0,14686.12,0.0,14686.12,12807.66
1.0,43200.0,1210300.0,Altres complements personal funcionari de carrera,,4.0,1.0,1584.53,0.0,1584.53,1183.08
1.0,43200.0,1210301.0,Altres complements personal funcionari interí,,4.0,1.0,3759.71,0.0,3759.71,1954.18
1.0,43200.0,1310000.0,Retribucions personal laboral temporal,,4.0,1.0,0.0,0.0,0.0,4553.32
1.0,43200.0,1500000.0,Productivitat personal funcionari de  carrera,,4.0,1.0,2077.2,0.0,2077.2,2210.94
1.0,43200.0,1500001.0,Productivitat personal funcionari interí,,4.0,1.0,4608.36,0.0,4608.36,3953.86
1.0,43200.0,1600000.0,Seguretat social,,4.0,1.0,39130.48,0.0,39130.48,39450.39
1.0,43200.0,1610000.0,Prestacions socials segons conveni,,4.0,1.0,0.0,0.0,0.0,830.81
1.0,43200.0,1620200.0,Transport de personal,,4.0,1.0,0.0,0.0,0.0,0.0
1.0,43200.0,1620400.0,Acció social,,4.0,1.0,0.0,0.0,0.0,313.75
1.0,43200.0,2020000.0,Lloguers,,4.0,2.0,15000.0,0.0,15000.0,18059.34
1.0,43200.0,2120000.0,Manteniment edificis i altres construccions,,4.0,2.0,500.0,0.0,500.0,0.0
1.0,43200.0,2210000.0,Subministrament energia elèctrica,,4.0,2.0,500.0,0.0,500.0,1172.3
1.0,43200.0,2210300.0,Subministrament de combustible,,4.0,2.0,500.0,0.0,500.0,79.78
1.0,43200.0,2220000.0,Comunicacions,,4.0,2.0,650.0,0.0,650.0,729.05
1.0,43200.0,2230000.0,Transports,,4.0,2.0,4000.0,0.0,4000.0,2040.22
1.0,43200.0,2240000.0,Assegurances,,4.0,2.0,200.0,0.0,200.0,181.93
1.0,43200.0,2250000.0,Tributs estatals,,4.0,2.0,0.0,0.0,0.0,898.99
1.0,43200.0,2250200.0,Tributs,,4.0,2.0,150.0,0.0,150.0,50.02
1.0,43200.0,2260200.0,Difusió i campanyes de divulgació,,4.0,2.0,15000.0,0.0,15000.0,1815.0
1.0,43200.0,2260600.0,"Reunions, conferències i cursos",,4.0,2.0,0.0,0.0,0.0,371.92
1.0,43200.0,2269900.0,Despeses diverses,,4.0,2.0,3300.0,0.0,3300.0,628.78
1.0,43200.0,2270600.0,Estudis i treballs tècnics,,4.0,2.0,0.0,0.0,0.0,2662.0
1.0,43200.0,2300000.0,Dels membres dels òrgans de govern,,4.0,2.0,0.0,0.0,0.0,497.3
1.0,43200.0,2302000.0,Dietes,,4.0,2.0,2000.0,0.0,2000.0,0.0
1.0,43200.0,2310000.0,Dels membres dels òrgans de govern,,4.0,2.0,0.0,0.0,0.0,301.84
1.0,43200.0,2330000.0,Altres Indemnitzacions.,,4.0,2.0,0.0,0.0,0.0,20.8
1.0,43200.0,4790000.0,Ajut nominatiu: Telecyl SA,,4.0,4.0,84700.0,0.0,84700.0,0.0
1.0,43200.0,4800000.0,A famílies i institucions sense fins de lucre,,4.0,4.0,0.0,0.0,0.0,84700.0
1.0,43200.0,4810000.0,Beques i premis: Premis Foment del Turisme,,4.0,4.0,5000.0,0.0,5000.0,5000.0
1.0,43200.0,4890000.0,Aportació a Fundació foment del Turisme de Menorca,,4.0,4.0,950000.0,0.0,950000.0,950000.0
1.0,43200.0,4890001.0,Ajut nominatiu: Super Series Eventos Deportivos LDA,,4.0,4.0,121000.0,0.0,121000.0,121000.0
1.0,43200.0,4890003.0,Ajut nominatiu: Club Marítimo de Mahón,,4.0,4.0,20000.0,0.0,20000.0,20000.0
1.0,43200.0,6090000.0,Altres inversions noves en infrast. i béns dest a l'ús gral.,1.0,4.0,6.0,0.0,0.0,0.0,0.0
1.0,43200.0,6220000.0,Inversió nova en edificis i altres construccions,1.0,4.0,6.0,0.0,0.0,0.0,0.0
1.0,43200.0,6250000.0,Mobiliari,1.0,4.0,6.0,0.0,0.0,0.0,0.0
1.0,43200.0,6270000.0,Pla sostenibilitat turística: Projecte Menorca Reserva Biosf,1.0,4.0,6.0,2388000.0,0.0,2388000.0,0.0
1.0,43200.0,6320000.0,Inversió de reposició en edificis i altres construccions,1.0,4.0,6.0,0.0,0.0,0.0,0.0
1.0,43200.0,6400000.0,Despeses en inversions de caràcter immaterial,1.0,4.0,6.0,0.0,0.0,0.0,45324.37
1.0,43200.0,6410000.0,Despeses en aplicacions informàtiques,1.0,4.0,6.0,0.0,0.0,0.0,0.0
1.0,43200.0,7400000.0,Aportació a Fundació Foment del Turisme de Menorca,,4.0,7.0,3250116.04,0.0,3250116.04,3250116.04
1.0,43200.0,7620000.0,A Ajuntaments.,,4.0,7.0,0.0,0.0,0.0,0.0
1.0,91200.0,1000000.0,Retribucions d'alts càrrecs,,9.0,1.0,617994.51,-120000.0,497994.51,593731.08
1.0,91200.0,1010000.0,Retribucions bàsiques personal gabinet,,9.0,1.0,92386.8,0.0,92386.8,90575.24
1.0,91200.0,1100000.0,Retribucions bàsiques i altres del personal eventual,,9.0,1.0,214614.04,0.0,214614.04,187315.52
1.0,91200.0,1207000.0,Retribucions bàsiques personal funcionari de carrera,,9.0,1.0,25121.85,0.0,25121.85,28299.17
1.0,91200.0,1210000.0,Complement destí personal funcionari de carrera,,9.0,1.0,9490.99,0.0,9490.99,12694.92
1.0,91200.0,1210100.0,Complement específic personal funcionari de carrera,,9.0,1.0,12999.31,0.0,12999.31,13391.26
1.0,91200.0,1210300.0,Altres complements personal funcionari de carrera,,9.0,1.0,4861.72,0.0,4861.72,5390.64
1.0,91200.0,1300000.0,Retribucions personal laboral fix,,9.0,1.0,0.0,0.0,0.0,3439.41
1.0,91200.0,1310000.0,Retribucions personal laboral temporal,,9.0,1.0,0.0,0.0,0.0,5279.23
1.0,91200.0,1500000.0,Productivitat personal funcionari de carrera,,9.0,1.0,3992.4,0.0,3992.4,3992.4
1.0,91200.0,1501001.0,Productivitat personal laboral temporal,,9.0,1.0,0.0,0.0,0.0,84.67
1.0,91200.0,1600000.0,Seguretat Social,,9.0,1.0,286938.4,0.0,286938.4,264534.91
1.0,91200.0,1600002.0,Malaltia,,9.0,1.0,0.0,0.0,0.0,0.0
1.0,91200.0,1610000.0,Prestacions socials segons conveni,,9.0,1.0,0.0,0.0,0.0,336.5
1.0,91200.0,1620500.0,Assegurances Lot I. Vida i Accidents.,,9.0,1.0,0.0,350.0,350.0,17884.32
1.0,91200.0,2130000.0,Manteniment i reparació d'instal.lacions i maquinària,,9.0,2.0,1700.0,0.0,1700.0,378.76
1.0,91200.0,2140000.0,Manteniment d'elements de transport,,9.0,2.0,1300.0,0.0,1300.0,211.83
1.0,91200.0,2200000.0,Material d'oficina ordinari,,9.0,2.0,650.0,0.0,650.0,30.0
1.0,91200.0,2200100.0,Subscripcions i publicacions,,9.0,2.0,7000.0,0.0,7000.0,16398.52
1.0,91200.0,2210300.0,Subministrament combustible,,9.0,2.0,1500.0,0.0,1500.0,40.0
1.0,91200.0,2220000.0,Comunicacions,,9.0,2.0,1000.0,0.0,1000.0,1144.97
1.0,91200.0,2230000.0,Transports,,9.0,2.0,7500.0,0.0,7500.0,2869.03
1.0,91200.0,2240000.0,Assegurances,,9.0,2.0,1100.0,0.0,1100.0,474.06
1.0,91200.0,2250200.0,Tributs entitats locals,,9.0,2.0,3500.0,0.0,3500.0,1951.55
1.0,91200.0,2260100.0,Despeses de protocol,,9.0,2.0,15000.0,0.0,15000.0,559.09
1.0,91200.0,2260200.0,Difusió i campanyes de divulgació,,9.0,2.0,70000.0,0.0,70000.0,62335.03
1.0,91200.0,2260600.0,"Reunions, conferències i cursos.",,9.0,2.0,0.0,0.0,0.0,1948.85
1.0,91200.0,2269900.0,Despeses diverses,,9.0,2.0,5000.0,0.0,5000.0,3310.81
1.0,91200.0,2270600.0,Estudis i treballs tècnics,,9.0,2.0,0.0,0.0,0.0,18742.9
1.0,91200.0,2300000.0,Dietes de càrrecs electes dels òrgans de govern,,9.0,2.0,1000.0,0.0,1000.0,2603.62
1.0,91200.0,2300001.0,Dietes membres oposició,,9.0,2.0,1000.0,0.0,1000.0,0.0
1.0,91200.0,2301000.0,Dietes dierectors insulars,,9.0,2.0,1000.0,0.0,1000.0,0.0
1.0,91200.0,2302000.0,Indemnitzacions per raó del servei. Dietes,,9.0,2.0,1500.0,0.0,1500.0,0.0
