#Econ.,Denominación,Previsiones Iniciales,Modificaciones de previsiones,Previsiones Definitivas,Derechos reconocidos netos
10000,Impost sobre la renda IRPF,1028389.31,0.0,1028389.31,1169704.38
17100,Recàrrec IAE,450000.0,0.0,450000.0,568931.72
21000,Impost sobre el Valor afegit (IVA),1491590.59,0.0,1491590.59,1561307.59
22000,Impost sobre l'alcohol i begudes derivades,15909.78,0.0,15909.78,16137.32
22001,Impost especial sobre la cervesa,5414.02,0.0,5414.02,6221.52
22003,Impost especial sobre el tabac,135213.57,0.0,135213.57,137198.64
22004,Impost especial sobre el combustible,184711.75,0.0,184711.75,187942.56
22006,Altres imposts especials,469.08,0.0,469.08,527.04
30900,Taxa Incendis,14200.0,0.0,14200.0,4829.7
31100,Taxes Discapacitats,162000.0,0.0,162000.0,169762.1
31110,Taxes Residència de Gent Gran,780000.0,0.0,780000.0,787762.77
31130,Taxes Centre de dia d'Alzheimer,85000.0,0.0,85000.0,32347.2
32000,Taxes transferència caça i pesca fluvial,110000.0,0.0,110000.0,117646.9
32200,Taxes Habitabilitat,25000.0,0.0,25000.0,45356.9
32300,Taxes Ordenació Territorial i Urbanisme,10000.0,0.0,10000.0,6111.28
32500,Taxes Expedició de documents,3000.0,0.0,3000.0,100.61
32900,Taxes Centre acollida animals,25000.0,0.0,25000.0,17180.64
32901,Taxes ITV,1323498.85,0.0,1323498.85,628659.96
32920,Taxes Transports,38000.0,0.0,38000.0,26355.8
32930,Taxes Ordenació Turística,80000.0,0.0,80000.0,75602.58
32940,Taxes Agricultura i Pesca,75000.0,0.0,75000.0,89281.0
32950,Taxa Artesania,1000.0,0.0,1000.0,-51.18
34100,PP.Serveis especials,35000.0,0.0,35000.0,11013.6
34200,Educació de persones adultes,32000.0,0.0,32000.0,0.0
34201,Matrícules Escola Art Dramàtic de Menorca,4000.0,0.0,4000.0,0.0
34300,PP. SERVEIS ESPORTIUS,0.0,0.0,0.0,0.0
34310,Esports: Gabinet de Medicina Esportiva,3400.0,0.0,3400.0,1276.0
34900,Productes Museu de Menorca,14000.0,0.0,14000.0,0.0
36000,Venda Llibres,100.0,0.0,100.0,3549.77
36001,Venda de productes de la granja escola,15000.0,0.0,15000.0,14899.9
36300,Vendes productes botiga Museu Menorca,0.0,0.0,0.0,6902.93
38901,Reintegrament d'operacions corrents d'exercicis tancats,0.0,0.0,0.0,266294.22
39190,Sancions,150000.0,0.0,150000.0,0.0
39191,Sancions transports,0.0,0.0,0.0,54159.9
39192,Sancions Turisme,0.0,0.0,0.0,366493.51
39193,Sancions de pesca,0.0,0.0,0.0,13165.0
39194,Sancions de Ramaderia,0.0,0.0,0.0,1200.0
39196,SANCIONS PATRIMONI,0.0,0.0,0.0,49467.2
39198,Sancions de caça,0.0,0.0,0.0,938.0
39201,Recàrrec de constrenyiment Ajuntament des Migjorn Gran,0.0,0.0,0.0,2786.74
39211,Recàrrec de constrenyiment,2000.0,0.0,2000.0,7147.23
39300,INTERESSOS DE DEMORA,0.0,0.0,0.0,5274.54
39900,Recursos eventuals,40000.0,0.0,40000.0,136773.67
39910,Reintegrament anuncis contractació,10000.0,0.0,10000.0,0.0
42010,Fons complementari de Finançament,13252229.74,0.0,13252229.74,13696963.79
42090,Altres transf. corrents de l'Admin. General de l'Estat,25000.0,1770453.96,1795453.96,1818391.45
42190,Gestió i conservació Finca Alforí de Dalt,80000.0,0.0,80000.0,79950.66
42200,Transferències corrents de fundacions estatals- Plemar-Mareb,65113.13,0.0,65113.13,0.0
42300,Participació traveses,85000.0,0.0,85000.0,52602.29
42390,Altres organismes estatals,103000.0,0.0,103000.0,72117.3
45001,CAIB - Altres transferències incondicionades,43154551.0,0.0,43154551.0,43154551.13
45002,CAIB - Convenis en matèria d'acció social,1739017.28,80609.77,1819627.05,1725701.1
45030,CAIB - Convenis en matèria d'educació,20000.0,55575.0,75575.0,56406.93
45050,CAIB - Convenis en matèria de formació,0.0,0.0,0.0,-3120.8
45060,CAIB - Altres convenis subscrits amb la CAIB,1806500.0,1125000.0,2931500.0,2125000.0
45080,Altres subvencions CAIB (Sense conveni),1684468.68,3928349.35,5612818.03,5784529.22
45100,Conveni ATIB Organització Congrés Espanyol d'Ecoturisme 2020,18000.0,0.0,18000.0,0.0
45200,Transferències de fundacions autonòmiques-IGA Menorca,30000.0,0.0,30000.0,0.0
45300,Posam valor a l'esport,30000.0,0.0,30000.0,0.0
46200,Extinció i prevenció d'incendis,1020455.02,0.0,1020455.02,1020455.02
46201,Ajuntaments - Biblioteques,74000.0,0.0,74000.0,76325.0
46202,Ajuntaments - Educació d'Adults,253654.08,0.0,253654.08,252195.37
46203,Ajuntaments - Serveis educatius educació primarenca,32173.35,0.0,32173.35,51610.92
46204,Ajuntaments - Protecció Animal,84377.0,0.0,84377.0,98369.3
46205,Ajuntaments - Monuments Arquelògics,53333.33,0.0,53333.33,50931.99
46206,Ajuntaments - Servei de riscos laborals,103411.49,0.0,103411.49,98224.11
46207,Ajuntaments - Neteja de platges,600000.0,0.0,600000.0,519687.92
46208,Ajuntaments - Manteniment carreteres,110986.82,0.0,110986.82,90137.92
46210,Ajuntaments - Programa Moviments,0.0,0.0,0.0,0.0
46211,IGA MENORCA,0.0,0.0,0.0,0.0
46212,IDE Menorca,49000.0,0.0,49000.0,49000.0
46213,Universitat Oberta Majors - Ajuntaments,8400.0,0.0,8400.0,6563.05
46700,Transferències corrents de consorcis,0.0,0.0,0.0,1110.78
47000,Conveni asseguradora incendis,391012.0,0.0,391012.0,399242.98
48000,Herència canera,30510.72,0.0,30510.72,0.0
49000,Projecte Europeu Insulae,24452.09,0.0,24452.09,11843.83
51600,Interessos préstecs a entitats locals.,0.0,0.0,0.0,10.04
52000,Interessos,8500.0,0.0,8500.0,1.28
53410,Dividends i particip. en beneficis de societats no depenents,0.0,0.0,0.0,444.66
54900,Cessió d'ús parcial WIMAX,42600.0,0.0,42600.0,23580.0
54901,Cessió d'us xarxa fibra óptica,15000.0,0.0,15000.0,0.0
55002,Cànon explotació Bar-Cafeteria Estació Autobusos Maó,8400.0,0.0,8400.0,2902.34
60967,Conveni APB-CIM,0.0,0.0,0.0,0.0
68000,REINTEGRAMENT OPERACIONS D'EXERCICIS TANCATS.,0.0,0.0,0.0,43134.4
72000,Transferències de l'Estat,6445580.0,0.0,6445580.0,1194000.0
72390,"Transferències capital de societats, EPEs i OOPP de l'Estat",0.0,0.0,0.0,0.0
75060,Altres transferències de capital - Convenis amb CAIB,3160958.57,0.0,3160958.57,40710.17
75080,CAIB - Altres transferències de Capital de la CA,12414111.86,0.0,12414111.86,5096954.42
75100,D'organismes autònoms i agències de les comunitats autònomes,0.0,0.0,0.0,3867.96
75300,Conveni APB - CIM,500000.0,0.0,500000.0,1194000.0
76200,Pèrgoles Fotovoltaiques,510336.86,509187.36,1019524.22,441366.86
76206,Transf. capital d'ajuntaments - Vehicle servei seg. i salut,0.0,0.0,0.0,3766.81
76700,Transferències de capital de consorcis,0.0,0.0,0.0,42.66
77000,Transferències de capital d'empreses privades,0.0,0.0,0.0,12587.5
82120,Reintegrament préstecs d'entitats locals,0.0,0.0,0.0,8051.7
83000,Reintegrament prèstecs,275000.0,0.0,275000.0,84045.0
83001,Reintegrament préstec Queseria Menorquina,0.0,0.0,0.0,55000.0
83010,Reintegraments de préstecs de fora del sector públic a c/t,0.0,0.0,0.0,0.0
84002,Devolució dipòsits.,0.0,0.0,0.0,0.08
84100,DEVOLUCIÓ DE FIANCES.,0.0,0.0,0.0,0.0
87000,Romanent de tresoreria per a despses generals,0.0,9418382.85,9418382.85,0.0
87010,Romanent de tresoreria per a despeses amb finançam. afectat,0.0,2468187.56,2468187.56,0.0
91300,Préstecs,13000000.0,0.0,13000000.0,0.0
