#Econ.,Denominación,Previsiones Iniciales,Modificaciones de previsiones,Previsiones Definitivas,Derechos reconocidos netos
10000.0,Impost sobre la renda IRPF,1028389.31,0.0,1028389.31,908572.65
17100.0,Recàrrec IAE,450000.0,0.0,450000.0,147340.93
21000.0,Impost sobre el Valor afegit (IVA),1491590.59,0.0,1491590.59,1189625.59
22000.0,Impost sobre l'alcohol i begudes derivades,15909.78,0.0,15909.78,12100.32
22001.0,Impost especial sobre la cervesa,5414.02,0.0,5414.02,4831.47
22003.0,Impost especial sobre el tabac,135213.57,0.0,135213.57,102898.98
22004.0,Impost especial sobre el combustible,184711.75,0.0,184711.75,140956.92
22006.0,Altres imposts especials,469.08,0.0,469.08,411.17
30900.0,Taxa Incendis,14200.0,0.0,14200.0,2773.66
31100.0,Taxes Discapacitats,162000.0,0.0,162000.0,124277.9
31110.0,Taxes Residència de Gent Gran,780000.0,0.0,780000.0,574562.31
31130.0,Taxes Centre de dia d'Alzheimer,85000.0,0.0,85000.0,26229.36
32000.0,Taxes transferència caça i pesca fluvial,110000.0,0.0,110000.0,116390.34
32200.0,Taxes Habitabilitat,25000.0,0.0,25000.0,22645.09
32300.0,Taxes Ordenació Territorial i Urbanisme,10000.0,0.0,10000.0,4183.2
32500.0,Taxes Expedició de documents,3000.0,0.0,3000.0,67.48
32900.0,Taxes Centre acollida animals,25000.0,0.0,25000.0,12006.53
32901.0,Taxes ITV,1323498.85,0.0,1323498.85,471494.97
32920.0,Taxes Transports,38000.0,0.0,38000.0,11649.42
32930.0,Taxes Ordenació Turística,80000.0,0.0,80000.0,46635.7
32940.0,Taxes Agricultura i Pesca,75000.0,0.0,75000.0,54505.68
32950.0,Taxa Artesania,1000.0,0.0,1000.0,-51.18
34100.0,PP.Serveis especials,35000.0,0.0,35000.0,8979.36
34200.0,Educació de persones adultes,32000.0,0.0,32000.0,0.0
34201.0,Matrícules Escola Art Dramàtic de Menorca,4000.0,0.0,4000.0,0.0
34310.0,Esports: Gabinet de Medicina Esportiva,3400.0,0.0,3400.0,694.0
34900.0,Productes Museu de Menorca,14000.0,0.0,14000.0,0.0
36000.0,Venda Llibres,100.0,0.0,100.0,2526.61
36001.0,Venda de productes de la granja escola,15000.0,0.0,15000.0,10920.04
36300.0,Vendes productes botiga Museu Menorca,0.0,0.0,0.0,5271.11
38901.0,Reintegrament d'operacions corrents d'exercicis tancats,0.0,0.0,0.0,242446.03
39190.0,Sancions,150000.0,0.0,150000.0,0.0
39191.0,Sancions transports,0.0,0.0,0.0,42815.0
39192.0,Sancions Turisme,0.0,0.0,0.0,89943.88
39193.0,Sancions de pesca,0.0,0.0,0.0,7550.0
39194.0,Sancions de Ramaderia,0.0,0.0,0.0,1200.0
39198.0,Sancions de caça,0.0,0.0,0.0,938.0
39211.0,Recàrrec de constrenyiment,2000.0,0.0,2000.0,4265.62
39300.0,INTERESSOS DE DEMORA,0.0,0.0,0.0,712.49
39900.0,Recursos eventuals,40000.0,0.0,40000.0,124365.27
39910.0,Reintegrament anuncis contractació,10000.0,0.0,10000.0,0.0
42010.0,Fons complementari de Finançament,13252229.74,0.0,13252229.74,10345263.02
42090.0,Altres transf. corrents de l'Admin. General de l'Estat,25000.0,1770453.96,1795453.96,1796262.96
42190.0,Gestió i conservació Finca Alforí de Dalt,80000.0,0.0,80000.0,40000.0
42200.0,Transferències corrents de fundacions estatals- Plemar-Mareb,65113.13,0.0,65113.13,0.0
42300.0,Participació traveses,85000.0,0.0,85000.0,43727.5
42390.0,Altres organismes estatals,103000.0,0.0,103000.0,9370.66
45001.0,CAIB - Altres transferències incondicionades,43154551.0,0.0,43154551.0,43154551.13
45002.0,CAIB - Convenis en matèria d'acció social,1739017.28,80609.77,1819627.05,1512702.19
45030.0,CAIB - Convenis en matèria d'educació,20000.0,0.0,20000.0,21906.93
45050.0,CAIB - Convenis en matèria de formació,0.0,0.0,0.0,-3120.8
45060.0,CAIB - Altres convenis subscrits amb la CAIB,1806500.0,1125000.0,2931500.0,1562500.0
45080.0,Altres subvencions CAIB (Sense conveni),1684468.68,2834236.91,4518705.59,5114285.5
45100.0,Conveni ATIB Organització Congrés Espanyol d'Ecoturisme 2020,18000.0,0.0,18000.0,0.0
45200.0,Transferències de fundacions autonòmiques-IGA Menorca,30000.0,0.0,30000.0,0.0
45300.0,Posam valor a l'esport,30000.0,0.0,30000.0,0.0
