#Org.,Prog.,Econ.,Denominación,Vinc. Org.,Vinc. Fun.,Vinc. Eco.,Créditos Iniciales
1.0,43200.0,1010000.0,Retribucions bàsiques personal de gabinet,,4.0,1.0,49242.17
1.0,43200.0,1207000.0,Retribucions bàsiques personal funcionari de carrera,,4.0,1.0,13006.34
1.0,43200.0,1207001.0,Retribucions bàsiques personal funcionari interí,,4.0,1.0,45110.38
1.0,43200.0,1210000.0,Complement destí personal funcionari de carrera,,4.0,1.0,5641.05
1.0,43200.0,1210001.0,Complement destí personal funcionari interí,,4.0,1.0,15640.52
1.0,43200.0,1210100.0,Complement específic personal funcionari de carrera,,4.0,1.0,6852.67
1.0,43200.0,1210101.0,Complement específic personal funcionari interí,,4.0,1.0,25619.63
1.0,43200.0,1210300.0,Altres complements personal funcionari de carrera,,4.0,1.0,783.36
1.0,43200.0,1210301.0,Altres complements personal funcionari interí,,4.0,1.0,3692.68
1.0,43200.0,1500000.0,Productivitat personal funcionari de carrera,,4.0,1.0,2077.2
1.0,43200.0,1500001.0,Productivitat personal funcionari interí,,4.0,1.0,7220.52
1.0,43200.0,1600000.0,Seguretat social,,4.0,1.0,55934.88
1.0,43200.0,2020000.0,Lloguers,1.0,4.0,2.0,37525.76
1.0,43200.0,2120000.0,Manteniment edificis i altres,1.0,4.0,2.0,500.0
1.0,43200.0,2210000.0,Subministrament energia elèctrica,1.0,4.0,2.0,1000.0
1.0,43200.0,2210300.0,Subministrament de combustible,1.0,4.0,2.0,500.0
1.0,43200.0,2220000.0,Comunicacions,1.0,4.0,2.0,650.0
1.0,43200.0,2230000.0,Transports,1.0,4.0,2.0,7000.0
1.0,43200.0,2240000.0,Assegurances,1.0,4.0,2.0,200.0
1.0,43200.0,2250000.0,Tributs estatals,1.0,4.0,2.0,1500.0
1.0,43200.0,2250200.0,Tributs,1.0,4.0,2.0,150.0
1.0,43200.0,2260200.0,Difusió i campanyes de divulgació,1.0,4.0,2.0,8100.0
1.0,43200.0,2260600.0,"Reunions, conferències i cursos",1.0,4.0,2.0,3000.0
